profile_url,likes,comments,timestamp,type,caption,url,shortcode,display_url,is_pinned
https://www.instagram.com/devbhoomi_uttarakhand,318,27,2026-07-14T13:23:16.000Z,Video,"Lahanga ❤️😊
.
 
 .
.
.
.
.
.
.
.
.
#trending #reels #viral #uttarakhand #pahadi",https://www.instagram.com/p/DaxlLz9zZ-j/,DaxlLz9zZ-j,https://instagram.fncl2-1.fna.fbcdn.net/v/t51.71878-15/747718408_2040257616573750_7038331947641999462_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=instagram.fncl2-1.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2gEA7N9vnHAqTs5FB9HQecfrbzHrd8_UvMLpTHKG3Z0F10Rfc-6z3AoHXrQEqkyNpV4&_nc_ohc=3QIptFCU5xIQ7kNvwGGjYXu&_nc_gid=sfnuEZKYLZDzAFOiadN5eA&edm=ADp7STQBAAAA&ccb=7-5&oh=00_AQAO7CL99WT8_KgLIjesAZACBOS7Wb4fRNE-8JerIfQoAA&oe=6A69416E&_nc_sid=c6f216,False
https://www.instagram.com/devbhoomi_uttarakhand,165,15,2026-07-13T13:51:44.000Z,Video,"Maya le ❤️🫶🏻
.
.
.
.
.
.
.
.
.
.
#trending #viralvideos #uttarakhand #pahadi #dance",https://www.instagram.com/p/DavDMAnT3KZ/,DavDMAnT3KZ,https://scontent-man2-1.cdninstagram.com/v/t51.71878-15/746384394_1531238452032675_5081432562407882503_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-man2-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2gGTGtiAi1IvJNWfT4FPm5bIvf-1V6TUrNCWrf0KGxM6X9vtJJz46rhxMANijMNjN30&_nc_ohc=d4U296cXcLAQ7kNvwFepe5Y&_nc_gid=nqezz6lySld_6CfuNYsVow&edm=ADp7STQBAAAA&ccb=7-5&oh=00_AQDCaqAtaIy2p_39ID3FSY-gyxkMn52b2K-p7ARIh26rEw&oe=6A6923B7&_nc_sid=c6f216,False
https://www.instagram.com/devbhoomi_uttarakhand,163,6,2026-07-12T13:41:07.000Z,Video,"Urvashi mushkil💓
.
.
.
.

.
.
.
.
.
#trending #reels #viral #uttarakhand #pahadi",https://www.instagram.com/p/DasdsuPzkOy/,DasdsuPzkOy,https://scontent-ams2-1.cdninstagram.com/v/t51.71878-15/744994271_2125705195018022_5223378377562147853_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=109&ig_cache_key=MzkzOTY1NDM5MDcwNTQzOTY2Ng%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0%3D&_nc_ohc=eBaFqwdsySsQ7kNvwHFEbTp&_nc_oc=Adq0FiNsrvO6-Fp52MyRjWXy9QCaqJBEQ-PbylGplU5DDRVeLTCyfhCpNftMJRzGZo8&_nc_zt=23&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_gid=UEHTsmQ6PaiSVfIAiDn3KA&_nc_ss=7ca8c&oh=00_AQCgM2bK3klQFsBi83h3gcIxfKZBmpxBnvvPqHuRrU7soQ&oe=6A6939A1,False
https://www.instagram.com/devbhoomi_uttarakhand,538,22,2026-07-11T12:55:09.000Z,Sidecar,"Seeking Love and Blessings before starting our forever ❤️🧿
@bhavana_bahuguna @samyak_bahuguna 
#couple #couplephotoshoot #trending #explore #insta 

couple photo shoot, pre-wedding photo shoot, couples life, couple, wedding photo shoot, pre-wedding photo shoot, couple photo shoot, perfect couple, explore, explore more,Insta Daily, Insta post",https://www.instagram.com/p/Dap0HE9E5QC/,Dap0HE9E5QC,https://scontent-muc2-1.cdninstagram.com/v/t51.82787-15/743016956_17888924307595317_1888603262180309267_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ig_cache_key=MzkzODkwMzU0MTk3MjY1ODYxNQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMzA3Mi5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=PqzNpEJno8EQ7kNvwEiMkeQ&_nc_oc=AdonJNTv4V2cV6y4cRnznNnqZMlm7C97Rh8w8gWWQND42H0wMh5yDmgIGEe2B4u4nrOQ451zutv0o_Ry_DdPq7Tr&_nc_zt=23&_nc_ht=scontent-muc2-1.cdninstagram.com&_nc_gid=aj29IkYg8FU9T-wAInMxmA&_nc_ss=7ca8c&oh=00_AQA0d161taZQ5Rc_zWDhDFbQCxfdxbvkOYLCG1FcAuPIaw&oe=6A693F50,False
https://www.instagram.com/rishikesh_diaries,7,0,2016-07-11T17:15:59.000Z,Image,Real peace is listening to th water flowing while sitting by the river and reading..,https://www.instagram.com/p/BHuq58Vg8Be/,BHuq58Vg8Be,https://scontent-fra5-2.cdninstagram.com/v/t51.82787-15/626396604_18430723786118676_3848178294008601783_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=109&ig_cache_key=MTI5MjE1ODg0Mjg1MTAxNjc5OA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=uWGwhsr6fG8Q7kNvwFQFRZN&_nc_oc=AdpAlsbtPEnJ3zs1n96kEEaOzz1qiu6MIpUXt57FnCXsq_lIJ5ICdRU-Jhuo2JfsnZg&_nc_zt=23&_nc_ht=scontent-fra5-2.cdninstagram.com&_nc_gid=vqqe7H4jISb5F4iPcvdW6A&_nc_ss=7ca8c&oh=00_AQCHdXxUd5iqTei6EygEEpIgzlDNAks3zAjozl-Qrnl9Zw&oe=6A69268A,False
https://www.instagram.com/rishikesh_diaries,7,0,2016-07-11T17:05:42.000Z,Image,Scenic beauty of Ram jhula... Astonishing sunsets...😇,https://www.instagram.com/p/BHupuonAa8x/,BHupuonAa8x,https://scontent-ssn1-1.cdninstagram.com/v/t51.82787-15/636727492_18562427902008234_5708097221800320555_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ig_cache_key=MTI5MjE1MzY2NzcwODg5MDkyOQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkZFRUQueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=rx7V24su8yUQ7kNvwG9Anbq&_nc_oc=Ado0KWjUBrQG8EFy3PLeOR9uxdFf8Gb7N9qYjH2OWPmKcvPiH_B8fAnRg1nVOEUBoNE&_nc_zt=23&_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_gid=gGJy4dOEJv68EdVKFb3Kaw&_nc_ss=7c689&oh=00_AQAWWhzs7S2DgC32EIhDpY-DLC7I6NfGGDyrknRCh0pT8A&oe=6A693680,False
https://www.instagram.com/starsportsindia,719,23,2026-07-28T05:30:11.000Z,Image,"𝟏𝟎𝟎 𝐛𝐚𝐥𝐥𝐬. 𝐈𝐧𝐟𝐢𝐧𝐢𝐭𝐞 𝐞𝐧𝐭𝐞𝐫𝐭𝐚𝐢𝐧𝐦𝐞𝐧𝐭. 💯

Sunrisers Leeds & Manchester Super Giants go head-to-head in a blockbuster double-header. 🏏

#TheHundred 2026 👉 EVERYDAY | 7:00 PM Onwards",https://www.instagram.com/p/DbTHzq0mIon/,DbTHzq0mIon,https://scontent-cdg6-1.cdninstagram.com/v/t51.82787-15/756682899_18469018906119702_7332119942031404941_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-cdg6-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2gGetHaj44PIwxTnEUJoymVNsopoZkjngcuni_7q8N-66DULfdnZXB2D675DV0KdUwo&_nc_ohc=L7sEVkIb5yIQ7kNvwH5WAxM&_nc_gid=es81Zbbe8WVsnwbChOVc7Q&edm=ADp7STQBAAAA&ccb=7-5&oh=00_AQB0VMOLHJl1ySTU2Mxe5rILRHA1vi-nK7fz99lx1cDp1g&oe=6A6E100B&_nc_sid=c6f216,False
https://www.instagram.com/starsportsindia,2205,15,2026-07-28T04:38:23.000Z,Video,"From battling injuries to standing atop the podium once again, Mirabai Chanu shares the joy of winning her third gold at #CWG26 and thanking the people who made it possible. 🔥🏅

#CWG2026",https://www.instagram.com/p/DbUsrB7s_81/,DbUsrB7s_81,https://scontent-mxp1-1.cdninstagram.com/v/t51.82787-15/759456358_18469123216119702_4762750358456691046_n.jpg?stp=dst-jpg_e35_p1080x1080_sh2.08_tt6&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2gEB82Eh50bOaXTSGNgzNSS5tOiL4wB-bzm5hWuZy4ywuf_-bVm9GEO759-siSz9B-U&_nc_ohc=CXX15AFB7SIQ7kNvwFIYxIS&_nc_gid=DLTYbfRcWLzUxfh7on_Y3A&edm=ADp7STQBAAAA&ccb=7-5&oh=00_AQA9zm2VR3Fjzp8BMwBpwbSketR9kURaI974UzIrBveZFQ&oe=6A6E35F6&_nc_sid=c6f216,False
https://www.instagram.com/starsportsindia,38942,147,2026-07-27T16:18:32.000Z,Sidecar,"BRB, admin's taking notes from @l.belll_ 😅

#TheHundred 2026 👉 Southern Brave v MI London | LIVE NOW!",https://www.instagram.com/p/DbTYFG6jRm5/,DbTYFG6jRm5,https://instagram.fbne8-1.fna.fbcdn.net/v/t51.82787-15/758427548_18469038751119702_6490067399459379555_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=1&ig_cache_key=Mzk1MDYwNjQwNjI4NTg5OTI3MA%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNBUk9VU0VMX0lURU0ueHBpZHMuMTA4MC5zZHIucmVndWxhcl9waG90by5DMyJ9&_nc_ohc=XmNbNblJlMIQ7kNvwEPbQee&_nc_oc=AdoP3cHViQq8qQTecacJlAtxtNDPhr6LXlLJdpB7rXojcurcc0a9s81Y5whDMe9LluU&_nc_zt=23&_nc_ht=instagram.fbne8-1.fna&_nc_gid=JFaR22QRFTF1lewnQEuxFQ&_nc_ss=72a8c&oh=00_AQC0_IK2f1juAbo6KDxYB9FRfSW7vPY11gzpPmcKaBGT3g&oe=6A6E2175,False
https://www.instagram.com/starsportsindia,55004,157,2026-07-27T15:03:40.000Z,Video,"Jemimah Rodrigues in full flow! 🔥

Jemmy is putting on a show for Southern Brave as she keeps the pressure on MI London 👏

#TheHundred 2026 👉 Southern Brave v MI London | LIVE NOW!",https://www.instagram.com/p/DbTPYRRsjgJ/,DbTPYRRsjgJ,https://instagram.fadl8-1.fna.fbcdn.net/v/t51.82787-15/759024781_18469027639119702_1326751968883940575_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=instagram.fadl8-1.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2gEWSv9f0RbMhA-atfw2r4svgYHzrkr4bzudbH5aBUEdyC-i2ojPzjmppfmTpL26eXU&_nc_ohc=HVkGlJPkOMUQ7kNvwGxb0i5&_nc_gid=Mq9vjiJW8unHjYJyxaZNSQ&edm=ADp7STQBAAAA&ccb=7-5&oh=00_AQCKL1yQm4Kh0oQPDsTurXlvW1pHCB-hac5DiQwUxYa_9g&oe=6A6E0C10&_nc_sid=c6f216,False
